latitude,longitude
37.77444199,-122.5046792
37.77409486,-122.4200014
37.71214951,-122.4171412
37.77883232,-122.4156425
37.79709205,-122.3983331
37.77005466,-122.4461284
37.78626844,-122.4129972
37.78191397,-122.4130322
37.72229807,-122.4113031
37.75962769,-122.415923
37.78497774,-122.4596976
37.78894504,-122.4262523
37.74226138,-122.4219647
37.76759524,-122.4311911
37.77578731,-122.3933551
37.78176091,-122.4151051
37.78356778,-122.4192734
37.79196281,-122.393243
37.78491618,-122.41195
37.76437321,-122.4174785
37.73311384,-122.3944192
37.78176159,-122.4110582
37.77409268,-122.4410844
37.74521892,-122.4174839
37.77762424,-122.3999811
37.76972086,-122.4179492
37.78434554,-122.4077851
37.75762172,-122.4188873
37.78429938,-122.4101413
37.78708179,-122.4258678
37.78611721,-122.4198542
37.74521892,-122.4174839
37.78373004,-122.4137537
37.76429934,-122.4185514
37.79494605,-122.4291559
37.78300757,-122.4458585
37.77409486,-122.4200014
37.78300757,-122.4458585
37.70911386,-122.4318301
37.78383852,-122.4137755
37.78775592,-122.4009754
37.76429934,-122.4185514
37.780001,-122.4416585
37.78566436,-122.4597544
37.77578731,-122.3933551
37.76437321,-122.4174785
37.78191397,-122.4130322
37.70885361,-122.4051095
37.78611721,-122.4198542
37.7935386,-122.3928891
37.77986128,-122.3895907
37.78186545,-122.4142853
37.75300403,-122.4063362
37.783052,-122.4200103
37.77966604,-122.4137112
37.7885473,-122.4143744
37.78316343,-122.4115993
37.77650804,-122.4144578
37.77592613,-122.4245791
37.77592613,-122.4245791
37.74702849,-122.4315135
37.76429934,-122.4185514
37.79494605,-122.4291559
37.79073739,-122.4198727
37.73371403,-122.3805885
37.78373004,-122.4137537
37.7712162,-122.4378883
37.80646891,-122.4192245
37.78729821,-122.3944813
37.78566436,-122.4597544
37.77762424,-122.3999811
37.77966604,-122.4137112
37.75683373,-122.406699
37.73117466,-122.3816081
37.7869902,-122.4106839
37.78047851,-122.4125123
37.78383852,-122.4137755
37.78153743,-122.4095183
37.77097894,-122.402816
37.7985219,-122.4163842
37.79323049,-122.3931813
37.76924706,-122.4269556
37.797515,-122.4471583
37.78566436,-122.4597544
37.79196281,-122.393243
37.78354278,-122.4925102
37.79020396,-122.4163929
37.78160513,-122.4163363
37.76491738,-122.4218864
37.75257276,-122.4129952
37.79282365,-122.3970342
37.77604635,-122.4112888
37.71901187,-122.4804507
37.75196034,-122.4363769
37.78610104,-122.4180881
37.78780723,-122.4192796
37.78176091,-122.4151051
37.79724775,-122.4346792
37.78764185,-122.4034308
37.79096861,-122.4023804
37.77659524,-122.4780333
37.78186545,-122.4142853
37.78331041,-122.3883799
37.78708179,-122.4258678
37.78611721,-122.4198542
37.72229807,-122.4113031
37.78911017,-122.4170169
37.76700203,-122.4221581
37.77986128,-122.3895907
37.78008594,-122.3975017
37.71781485,-122.3914268
37.72919356,-122.3740024
37.77966604,-122.4137112
37.72229807,-122.4113031
37.78139813,-122.4092454
37.74702849,-122.4315135
37.77409268,-122.4410844
37.77886069,-122.4082716
37.79073739,-122.4198727
37.77708346,-122.4169793
37.79020396,-122.4163929
37.79053181,-122.4039142
37.78921883,-122.4068427
37.78176091,-122.4151051
37.79727032,-122.4059152
37.76227855,-122.4193325
37.78160513,-122.4163363
37.77792272,-122.4189512
37.78491618,-122.41195
37.75257276,-122.4129952
37.78139813,-122.4092454
37.76129048,-122.4072554
37.78788961,-122.401043
37.7625884,-122.4325313
37.77708346,-122.4169793
37.78480739,-122.4136154
37.79053181,-122.4039142
37.77762424,-122.3999811
37.73209214,-122.3908027
37.79175352,-122.4224337
37.77091334,-122.420305
37.79028274,-122.4340468
37.74921003,-122.4162418
37.70893522,-122.4270135
37.78611721,-122.4198542
37.78191397,-122.4130322
37.77865785,-122.4165803
37.79028274,-122.4340468
37.78610104,-122.4180881
37.78491618,-122.41195
37.78008594,-122.3975017
37.77529388,-122.4188944
37.70911386,-122.4318301
37.74669767,-122.4350604
37.76700203,-122.4221581
37.74669767,-122.4350604
37.70893522,-122.4270135
37.77005466,-122.4461284
37.78775592,-122.4009754
37.78480739,-122.4136154
37.70885361,-122.4051095
37.77709207,-122.4292128
37.78594273,-122.4189026
37.77592613,-122.4245791
37.75723241,-122.4156262
37.78497774,-122.4596976
37.73371403,-122.3805885
37.74616295,-122.3940489
37.77592613,-122.4245791
37.78894504,-122.4262523
